MONTH,FUNERAL,2016,2017,2020,2021,2018,2019
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
07,OUTRO,1,0,0,0,0,0
